loss,model_6_loss,model_7_loss,model_6_AE_ACC,model_6_MLP_ACC,model_7_AE_ACC,model_7_MLP_ACC,val_loss,val_model_6_loss,val_model_7_loss,val_model_6_AE_ACC,val_model_6_MLP_ACC,val_model_7_AE_ACC,val_model_7_MLP_ACC
0.10759574919939041,0.06228823587298393,0.045307502150535583,0.9762052297592163,0.9762052297592163,0.9792022109031677,0.9792022109031677,0.0008818712667562068,0.0006734125781804323,0.00020845842664130032,1.0,1.0,1.0,1.0
0.005658899899572134,0.0032868736889213324,0.0023720301687717438,0.9994574189186096,0.9994574189186096,0.9990957379341125,0.9990957379341125,0.0003182309155818075,0.00022565570543520153,9.25750719034113e-05,1.0,1.0,1.0,1.0
0.0033104901667684317,0.0014559220289811492,0.0018545682542026043,0.999793291091919,0.999793291091919,0.9990699291229248,0.9990699291229248,7.157914660638198e-05,4.868885298492387e-05,2.289030817337334e-05,1.0,1.0,1.0,1.0
0.0029688889626413584,0.0012606801465153694,0.0017082092817872763,0.9994574189186096,0.9994574189186096,0.9990699291229248,0.9990699291229248,4.9137455789605156e-05,3.548315362422727e-05,1.3654288522957359e-05,1.0,1.0,1.0,1.0
0.00177847093436867,0.0007107873097993433,0.001067683333531022,0.9998449683189392,0.9998449683189392,0.9993541240692139,0.9993541240692139,2.2818989236839116e-05,1.549666740174871e-05,7.322321380343055e-06,1.0,1.0,1.0,1.0
0.0021412489004433155,0.0008683876367285848,0.001272861030884087,0.9995866417884827,0.9995866417884827,0.9993024468421936,0.9993024468421936,8.365363100892864e-06,3.687965545395855e-06,4.677395736507606e-06,1.0,1.0,1.0,1.0
0.0012289927108213305,0.0005627198843285441,0.0006662718369625509,0.9997158050537109,0.9997158050537109,0.9995607733726501,0.9995607733726501,1.999940832320135e-05,1.837142917793244e-05,1.627979372642585e-06,1.0,1.0,1.0,1.0
0.001431319280527532,0.000427719991421327,0.001003601704724133,0.999793291091919,0.999793291091919,0.9994574189186096,0.9994574189186096,2.952092472696677e-06,1.7084665842048707e-06,1.243625547431293e-06,1.0,1.0,1.0,1.0
0.001748342183418572,0.0007462591165676713,0.001002083532512188,0.9996124505996704,0.9996124505996704,0.9994574189186096,0.9994574189186096,3.0366059036168735e-06,1.4785603070777142e-06,1.5580463923470234e-06,1.0,1.0,1.0,1.0
0.0020329905673861504,0.0009384099976159632,0.0010945810936391354,0.9994058012962341,0.9994058012962341,0.9993541240692139,0.9993541240692139,5.2027462515980005e-05,4.9431542720412835e-05,2.595930709503591e-06,1.0,1.0,1.0,1.0
0.0006908866344019771,0.0003361618146300316,0.0003547251981217414,0.9998966455459595,0.9998966455459595,0.9997674822807312,0.9997674822807312,8.654650400785613e-07,4.1534511296958954e-07,4.501199555306812e-07,1.0,1.0,1.0,1.0
0.0007197296945378184,0.000320615858072415,0.00039911404019221663,0.999793291091919,0.999793291091919,0.9997674822807312,0.9997674822807312,2.528858658479294e-06,2.019033217948163e-06,5.098250426271989e-07,1.0,1.0,1.0,1.0
0.0008329327101819217,0.00035174167715013027,0.0004811905964743346,0.9998449683189392,0.9998449683189392,0.9997674822807312,0.9997674822807312,9.595495384928654e-07,6.401051564353111e-07,3.194442683707166e-07,1.0,1.0,1.0,1.0
0.0009790019830688834,0.00030149889062158763,0.0006775035872124135,0.9998449683189392,0.9998449683189392,0.9995090961456299,0.9995090961456299,3.6786946111533325e-07,3.110270370143553e-07,5.684251291881992e-08,1.0,1.0,1.0,1.0
0.001057719811797142,0.00042774557368829846,0.0006299749948084354,0.9996899962425232,0.9996899962425232,0.9995866417884827,0.9995866417884827,5.619949661195278e-07,2.280510642549416e-07,3.3394400134056923e-07,1.0,1.0,1.0,1.0
0.0012732264585793018,0.000548618845641613,0.0007246075547300279,0.9996641278266907,0.9996641278266907,0.9994832873344421,0.9994832873344421,3.140913031529635e-05,6.4385153564217035e-06,2.4970608137664385e-05,1.0,1.0,1.0,1.0
0.0008797748596407473,0.00036268652183935046,0.0005170884542167187,0.999793291091919,0.999793291091919,0.9997674822807312,0.9997674822807312,2.1108548025949858e-05,4.6850840362822055e-07,2.0640038201236166e-05,1.0,1.0,1.0,1.0
0.00046387698967009783,0.0002631371608003974,0.00020074009080417454,0.9998191595077515,0.9998191595077515,0.9998966455459595,0.9998966455459595,1.4174258922139416e-07,6.910040184493482e-08,7.264223000902348e-08,1.0,1.0,1.0,1.0
0.0007803878397680819,0.00038013726589269936,0.0004002504574600607,0.9997158050537109,0.9997158050537109,0.9997416138648987,0.9997416138648987,1.3284039823702187e-06,1.3044390243521775e-06,2.3964956241684376e-08,1.0,1.0,1.0,1.0
0.0022479468025267124,0.0008948981412686408,0.0013530479045584798,0.9995090961456299,0.9995090961456299,0.9991732835769653,0.9991732835769653,1.5789265717103262e-07,6.537489127822482e-08,9.25177658928078e-08,1.0,1.0,1.0,1.0
